angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.56,,"[289, 24, 95, 128]",,0.0,,0.04,,0.28,,0.01,,0.09,,0.02,
0.58,,"[289, 22, 96, 128]",,0.0,,0.05,,0.2,,0.01,,0.14,,0.02,
0.36,,"[287, 21, 91, 124]",,0.01,,0.06,,0.11,,0.03,,0.42,,0.01,
0.02,,"[282, 7, 102, 141]",,0.0,,0.0,,0.9,,0.02,,0.06,,0.0,
0.01,,"[284, 12, 100, 130]",,0.0,,0.0,,0.95,,0.01,,0.03,,0.0,
0.03,,"[281, 13, 99, 126]",,0.0,,0.03,,0.73,,0.05,,0.15,,0.0,
0.07,,"[279, 11, 107, 140]",,0.0,,0.07,,0.07,,0.03,,0.76,,0.01,
0.07,,"[277, 10, 105, 138]",,0.01,,0.07,,0.11,,0.02,,0.72,,0.0,
0.14,,"[278, 10, 106, 139]",,0.0,,0.05,,0.25,,0.03,,0.53,,0.0,
0.16,,"[278, 7, 110, 144]",,0.01,,0.07,,0.43,,0.02,,0.31,,0.01,
0.13,,"[274, 3, 116, 150]",,0.0,,0.04,,0.62,,0.04,,0.15,,0.01,
0.23,,"[272, 1, 117, 151]",,0.0,,0.1,,0.28,,0.04,,0.35,,0.01,
0.14,,"[272, 5, 119, 151]",,0.0,,0.06,,0.54,,0.04,,0.19,,0.03,
0.24,,"[271, 3, 122, 151]",,0.0,,0.09,,0.2,,0.06,,0.4,,0.01,
0.12,,"[270, 0, 124, 154]",,0.0,,0.06,,0.41,,0.05,,0.35,,0.01,
0.29,,"[276, 9, 112, 139]",,0.01,,0.05,,0.35,,0.04,,0.26,,0.02,
0.25,,"[273, 5, 117, 144]",,0.01,,0.06,,0.35,,0.03,,0.29,,0.01,
0.2,,"[275, 12, 110, 134]",,0.01,,0.13,,0.19,,0.02,,0.44,,0.01,
0.14,,"[273, 7, 111, 138]",,0.0,,0.05,,0.62,,0.02,,0.16,,0.01,
0.14,,"[274, 10, 115, 139]",,0.01,,0.08,,0.17,,0.04,,0.56,,0.0,
0.08,,"[272, 5, 116, 144]",,0.0,,0.12,,0.12,,0.04,,0.63,,0.0,
0.09,0.15,"[273, 10, 112, 136]","[475, 180, 41, 52]",0.0,0.0,0.09,0.11,0.31,0.02,0.02,0.07,0.49,0.63,0.0,0.01
0.08,0.09,"[273, 10, 111, 135]","[473, 175, 50, 63]",0.0,0.0,0.09,0.12,0.31,0.03,0.04,0.06,0.47,0.69,0.0,0.01
0.09,0.06,"[272, 10, 113, 137]","[476, 183, 32, 43]",0.0,0.0,0.15,0.15,0.11,0.01,0.03,0.04,0.61,0.73,0.0,0.01
0.11,,"[274, 12, 105, 128]",,0.0,,0.1,,0.27,,0.07,,0.45,,0.01,
0.07,,"[272, 13, 107, 128]",,0.0,,0.08,,0.23,,0.09,,0.53,,0.0,
0.06,,"[285, 9, 109, 134]",,0.0,,0.01,,0.91,,0.0,,0.01,,0.0,
0.05,,"[284, 2, 112, 144]",,0.0,,0.01,,0.93,,0.0,,0.01,,0.0,
0.05,,"[283, 1, 115, 145]",,0.0,,0.01,,0.92,,0.0,,0.01,,0.0,
0.03,,"[282, 0, 119, 148]",,0.0,,0.01,,0.95,,0.0,,0.01,,0.0,
0.01,,"[282, 0, 122, 149]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[283, 0, 124, 150]",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.01,,"[283, 0, 123, 149]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[284, 0, 123, 148]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[284, 0, 120, 147]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[284, 0, 119, 147]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.01,,"[284, 0, 120, 147]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[285, 0, 118, 145]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[289, 3, 114, 140]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[290, 4, 114, 138]",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.01,,"[290, 4, 115, 139]",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.0,,"[287, 5, 117, 138]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[287, 5, 117, 137]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[287, 0, 117, 144]",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.02,,"[285, 2, 116, 144]",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.03,,"[285, 3, 114, 142]",,0.0,,0.0,,0.97,,0.0,,0.0,,0.0,
0.01,,"[285, 6, 113, 138]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.02,,"[284, 7, 113, 139]",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.01,,"[282, 8, 112, 140]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[283, 16, 111, 130]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.0,,"[282, 17, 109, 130]",,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,
0.01,,"[280, 11, 110, 139]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.02,,"[278, 10, 111, 141]",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.04,,"[277, 13, 111, 137]",,0.0,,0.0,,0.96,,0.0,,0.0,,0.0,
0.01,,"[277, 16, 109, 135]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[274, 15, 114, 138]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[273, 14, 113, 140]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[271, 15, 114, 140]",,0.0,,0.0,,0.99,,0.0,,0.0,,0.0,
0.01,,"[271, 16, 111, 138]",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.02,,"[269, 15, 113, 140]",,0.0,,0.0,,0.98,,0.0,,0.0,,0.0,
0.04,,"[267, 14, 113, 139]",,0.0,,0.0,,0.95,,0.0,,0.0,,0.0,
0.08,,"[266, 16, 112, 137]",,0.01,,0.01,,0.88,,0.0,,0.02,,0.0,
0.12,,"[266, 16, 112, 139]",,0.01,,0.02,,0.81,,0.0,,0.03,,0.0,
0.15,,"[265, 16, 112, 139]",,0.01,,0.01,,0.79,,0.0,,0.03,,0.0,
0.14,,"[265, 17, 111, 138]",,0.01,,0.01,,0.83,,0.0,,0.02,,0.0,
0.14,,"[265, 16, 111, 139]",,0.01,,0.01,,0.84,,0.0,,0.01,,0.0,
0.09,,"[265, 17, 111, 137]",,0.0,,0.01,,0.88,,0.0,,0.01,,0.0,
0.02,,"[262, 19, 110, 136]",,0.0,,0.0,,0.97,,0.0,,0.0,,0.0,
0.02,,"[262, 18, 111, 136]",,0.0,,0.0,,0.97,,0.0,,0.0,,0.0,
0.04,,"[264, 20, 110, 134]",,0.01,,0.01,,0.93,,0.0,,0.02,,0.0,
0.06,,"[264, 14, 111, 137]",,0.03,,0.09,,0.6,,0.02,,0.21,,0.0,
0.1,,"[266, 16, 111, 136]",,0.04,,0.08,,0.47,,0.03,,0.27,,0.0,
0.12,,"[268, 18, 110, 131]",,0.03,,0.06,,0.55,,0.04,,0.22,,0.0,
0.09,,"[268, 15, 110, 136]",,0.0,,0.02,,0.77,,0.04,,0.09,,0.0,
0.1,,"[269, 14, 111, 136]",,0.0,,0.02,,0.72,,0.03,,0.13,,0.0,
0.06,,"[267, 9, 116, 140]",,0.0,,0.05,,0.63,,0.09,,0.17,,0.0,
0.04,,"[268, 6, 117, 141]",,0.0,,0.02,,0.8,,0.04,,0.09,,0.01,
0.01,,"[268, 8, 115, 138]",,0.0,,0.0,,0.97,,0.01,,0.0,,0.0,
0.01,,"[269, 9, 114, 136]",,0.0,,0.0,,0.95,,0.02,,0.01,,0.0,
0.02,,"[273, 10, 111, 136]",,0.0,,0.01,,0.89,,0.03,,0.04,,0.0,
0.05,,"[272, 10, 112, 135]",,0.0,,0.01,,0.87,,0.02,,0.05,,0.0,
0.04,,"[273, 5, 113, 140]",,0.0,,0.02,,0.86,,0.03,,0.05,,0.0,
